State,category,value
Kansas,Political Accountability,33.300000000000004
West Virginia,Political Accountability,50.0
Pennsylvania,Political Accountability,33.300000000000004
Maine,Political Accountability,50.0
Louisiana,Political Accountability,33.300000000000004
Vermont,Political Accountability,16.7
Delaware,Political Accountability,16.7
South Carolina,Political Accountability,16.7
Colorado,Political and Institutional Factors,91.2
Oregon,Political and Institutional Factors,92.2
Washington,Political and Institutional Factors,93.60000000000001
California,Political and Institutional Factors,96.6
Maryland,Political and Institutional Factors,99.1
Alaska,Political and Institutional Factors,80.30000000000001
Ohio,Political and Institutional Factors,82.5
Montana,Political and Institutional Factors,78.10000000000001
Nevada,Political and Institutional Factors,52.7
Arkansas,Political and Institutional Factors,73.5
Florida,Political and Institutional Factors,83.2
Missouri,Political and Institutional Factors,79.10000000000001
Idaho,Political and Institutional Factors,71.39999999999999
Massachusetts,Political and Institutional Factors,98.6
Oklahoma,Political and Institutional Factors,71.7
New Mexico,Political and Institutional Factors,89.8
Arizona,Political and Institutional Factors,52.1
Virginia,Political and Institutional Factors,89.7
Utah,Political and Institutional Factors,76.5
Nebraska,Political and Institutional Factors,33.5
Hawaii,Political and Institutional Factors,97.6
Illinois,Political and Institutional Factors,92.30000000000001
Georgia,Political and Institutional Factors,86.3
Mississippi,Political and Institutional Factors,78.10000000000001
New York,Political and Institutional Factors,94.3
Michigan,Political and Institutional Factors,20.0
North Dakota,Political and Institutional Factors,70.89999999999999
Texas,Political and Institutional Factors,82.39999999999999
Iowa,Political and Institutional Factors,81.69999999999999
North Carolina,Political and Institutional Factors,52.1
Indiana,Political and Institutional Factors,78.8
South Dakota,Political and Institutional Factors,74.1
Tennessee,Political and Institutional Factors,75.1
Wisconsin,Political and Institutional Factors,53.0
Minnesota,Political and Institutional Factors,21.9
New Jersey,Political and Institutional Factors,91.2
Rhode Island,Political and Institutional Factors,93.60000000000001
Connecticut,Political and Institutional Factors,93.8
Wyoming,Political and Institutional Factors,66.7
Alabama,Political and Institutional Factors,74.5
Kentucky,Political and Institutional Factors,40.9
New Hampshire,Political and Institutional Factors,88.6
Kansas,Political and Institutional Factors,46.300000000000004
West Virginia,Political and Institutional Factors,69.0
Pennsylvania,Political and Institutional Factors,19.8
Maine,Political and Institutional Factors,22.900000000000002
Louisiana,Political and Institutional Factors,77.7
Vermont,Political and Institutional Factors,66.7
Delaware,Political and Institutional Factors,93.7
South Carolina,Political and Institutional Factors,80.2
