state,variable,value
Washington,elected_supreme_justice,1
West Virginia,elected_supreme_justice,1
Wisconsin,elected_supreme_justice,1
Wyoming,elected_supreme_justice,0
Alabama,free_speech,
Alaska,free_speech,
Arizona,free_speech,
Arkansas,free_speech,
California,free_speech,
Colorado,free_speech,
Connecticut,free_speech,
Delaware,free_speech,
Florida,free_speech,
Georgia,free_speech,
Hawaii,free_speech,
Idaho,free_speech,
Illinois,free_speech,
Indiana,free_speech,
Iowa,free_speech,
Kansas,free_speech,
Kentucky,free_speech,
Louisiana,free_speech,
Maine,free_speech,
Maryland,free_speech,
Massachusetts,free_speech,
Michigan,free_speech,
Minnesota,free_speech,
Mississippi,free_speech,
Missouri,free_speech,
Montana,free_speech,
Nebraska,free_speech,
Nevada,free_speech,
New Hampshire,free_speech,
New Jersey,free_speech,
New Mexico,free_speech,
New York,free_speech,
North Carolina,free_speech,
North Dakota,free_speech,
Ohio,free_speech,
Oklahoma,free_speech,
Oregon,free_speech,
Pennsylvania,free_speech,
Rhode Island,free_speech,
South Carolina,free_speech,
South Dakota,free_speech,
Tennessee,free_speech,
Texas,free_speech,
Utah,free_speech,
Vermont,free_speech,
Virginia,free_speech,
Washington,free_speech,
West Virginia,free_speech,
Wisconsin,free_speech,
Wyoming,free_speech,
Alabama,legislative_money_percapita,0.713
Alaska,legislative_money_percapita,0.000
Arizona,legislative_money_percapita,0.863
Arkansas,legislative_money_percapita,0.726
California,legislative_money_percapita,0.586
Colorado,legislative_money_percapita,0.845
Connecticut,legislative_money_percapita,0.704
Delaware,legislative_money_percapita,0.687
Florida,legislative_money_percapita,0.785
Georgia,legislative_money_percapita,0.745
Hawaii,legislative_money_percapita,0.639
Idaho,legislative_money_percapita,0.750
Illinois,legislative_money_percapita,0.099
Indiana,legislative_money_percapita,0.634
Iowa,legislative_money_percapita,0.281
Kansas,legislative_money_percapita,0.704
Kentucky,legislative_money_percapita,0.656
Louisiana,legislative_money_percapita,0.655
Maine,legislative_money_percapita,0.760
Maryland,legislative_money_percapita,0.736
Massachusetts,legislative_money_percapita,0.679
Michigan,legislative_money_percapita,0.652
Minnesota,legislative_money_percapita,0.749
Mississippi,legislative_money_percapita,0.817
Missouri,legislative_money_percapita,0.646
Montana,legislative_money_percapita,0.717
Nebraska,legislative_money_percapita,1.000
Nevada,legislative_money_percapita,0.532
New Hampshire,legislative_money_percapita,0.911
New Jersey,legislative_money_percapita,0.680
New Mexico,legislative_money_percapita,0.513
New York,legislative_money_percapita,0.802
North Carolina,legislative_money_percapita,0.659
North Dakota,legislative_money_percapita,0.861
Ohio,legislative_money_percapita,0.606
Oklahoma,legislative_money_percapita,0.590
Oregon,legislative_money_percapita,0.279
Pennsylvania,legislative_money_percapita,0.439
Rhode Island,legislative_money_percapita,0.579
South Carolina,legislative_money_percapita,0.787
South Dakota,legislative_money_percapita,0.729
Tennessee,legislative_money_percapita,0.748
Texas,legislative_money_percapita,0.583
Utah,legislative_money_percapita,0.808
Vermont,legislative_money_percapita,0.793
Virginia,legislative_money_percapita,0.319
Washington,legislative_money_percapita,0.613
West Virginia,legislative_money_percapita,0.561
Wisconsin,legislative_money_percapita,0.683
Wyoming,legislative_money_percapita,0.694
Alabama,local_news,
Alaska,local_news,
Arizona,local_news,
Arkansas,local_news,
California,local_news,
Colorado,local_news,
Connecticut,local_news,
Delaware,local_news,
Florida,local_news,
Georgia,local_news,
Hawaii,local_news,
Idaho,local_news,
Illinois,local_news,
Indiana,local_news,
Iowa,local_news,
Kansas,local_news,
Kentucky,local_news,
Louisiana,local_news,
Maine,local_news,
Maryland,local_news,
Massachusetts,local_news,
Michigan,local_news,
Minnesota,local_news,
Mississippi,local_news,
Missouri,local_news,
Montana,local_news,
Nebraska,local_news,
Nevada,local_news,
New Hampshire,local_news,
New Jersey,local_news,
New Mexico,local_news,
New York,local_news,
North Carolina,local_news,
North Dakota,local_news,
Ohio,local_news,
Oklahoma,local_news,
Oregon,local_news,
Pennsylvania,local_news,
Rhode Island,local_news,
South Carolina,local_news,
South Dakota,local_news,
Tennessee,local_news,
Texas,local_news,
Utah,local_news,
Vermont,local_news,
Virginia,local_news,
Washington,local_news,
West Virginia,local_news,
Wisconsin,local_news,
Wyoming,local_news,
Alabama,minority_share,0.394
Alaska,minority_share,0.476
Arizona,minority_share,0.537
Arkansas,minority_share,0.316
California,minority_share,0.809
Colorado,minority_share,0.365
Connecticut,minority_share,0.393
Delaware,minority_share,0.461
Florida,minority_share,0.563
Georgia,minority_share,0.585
Hawaii,minority_share,1.000
Idaho,minority_share,0.165
Illinois,minority_share,0.464
Indiana,minority_share,0.214
Iowa,minority_share,0.109
Kansas,minority_share,0.261
Kentucky,minority_share,0.129
Louisiana,minority_share,0.502
Maine,minority_share,0.000
Maryland,minority_share,0.627
Massachusetts,minority_share,0.330
Michigan,minority_share,0.259
Minnesota,minority_share,0.202
Mississippi,minority_share,0.508
Missouri,minority_share,0.210
Montana,minority_share,0.103
Nebraska,minority_share,0.211
Nevada,minority_share,0.645
New Hampshire,minority_share,0.044
New Jersey,minority_share,0.559
